id,label,context,statement,var_explanations,llm_explanations
7449e,e,"In 1982, Wallace won his last race for governor with a quarter of the black votes cast in the Democratic primary, a fact alluded to in a written epilogue at the end of the film.",Wallace was reelected as governor.,"{""annotator"": 0, ""id"": ""1436-entailment-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": true}], ""label_correction"": false, ""reason"": ""The context only mentioned that Wallance won his last race for gevernor, we don't know if this was his first win or if he won again."", ""self_corrected"": true}","[""The fact that Wallace won his last race for governor implies that he was indeed reelected."", ""e"", ""validated""] | [""The statement's truth can be inferred from the fact that Wallace won his last election, as this suggests he was reelected."", ""e"", ""validated""] | [""The epilogue mentions Wallace winning his last race for governor, which is a clear indication of his reelection."", ""e"", ""validated""] | [""Wallace's reelection can be deduced from the fact that he won his last election, which is a common indicator of a governor's reelection."", ""e"", ""validated""] | [""The context implies that Wallace won his last election, and this is a common outcome for governors who are reelected."", ""e"", ""validated""]"
66185c,c,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,There was no such instance of political cleansing.,"{""annotator"": 0, ""id"": ""645-contradiction-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": true}, {""annotator"": 2, ""makes_sense"": true}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": false, ""reason"": ""The political cleansing did exist, as mentioned in the context. It just didn't happen throught the impeachment process."", ""self_corrected"": true}","[""The statement implies that political cleansing occurred, but the context denies its occurrence."", ""c"", ""validated""] | [""The context explicitly states that there was no political cleansing, contradicting the statement."", ""c"", ""validated""] | [""The statement's claim about political cleansing being a burden on Clinton is unfounded since no such cleansing occurred."", ""c"", ""validated""] | [""The context's denial of political cleansing renders the statement's claim about Clinton's burden as irrelevant."", ""c"", ""validated""]"
83248c,n,"Her state is probably to be attributed to the mental shock consequent on recovering her memory.""",It is too bad that she never regained her memory.,"{""annotator"": 3, ""id"": ""1010-neutral-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": true, ""reason"": ""It is not known if she will regain the memory in the future"", ""self_corrected"": true}","[""The speaker's tone implies regret, which is typically associated with a positive outcome (regaining memory) not occurring."", ""n"", ""not_validated""] | [""The speaker's use of \""too bad\"" suggests a sense of loss or disappointment, which would be mitigated if her memory had been regained."", ""n"", ""validated""] | [""The speaker's statement implies that regaining her memory would have had a positive outcome, which is not the case."", ""n"", ""not_validated""] | [""The speaker's tone suggests that the speaker believes regaining her memory would have been desirable, which is not the case."", ""n"", ""validated""] | [""The speaker's statement implies that the speaker thinks the speaker's state is a result of not regaining her memory, which is not explicitly stated."", ""n"", ""not_validated""] | [""The speaker's statement implies that the speaker is expressing sympathy for the speaker's state, but the state is actually a result of not regaining her memory."", ""n"", ""not_validated""] | [""The speaker's statement implies that the speaker is expressing disappointment in the lack of regaining her memory, which is a negative outcome."", ""n"", ""validated""]"
24126n,e,The door did not budge.,"The door was stuck, so it did not move.","{""annotator"": 3, ""id"": ""595-entailment-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": true, ""reason"": ""budge entails that the door wouldn't move"", ""self_corrected"": true}","[""The door was stuck due to external forces that prevented it from moving."", ""e"", ""validated""] | [""The door's hinges or locking mechanism were malfunctioning."", ""e"", ""validated""] | [""The door's door frame or surrounding structure was damaged or obstructing its movement."", ""e"", ""not_validated""] | [""The door's weight or size made it difficult to open or close."", ""e"", ""not_validated""] | [""There was an object or object blockage in the door's path preventing its movement."", ""e"", ""validated""] | [""The door's locking mechanism was engaged or locked, preventing it from moving."", ""e"", ""validated""] | [""The door's motor or spring mechanism was faulty or broken."", ""e"", ""validated""] | [""The door was jammed or wedged due to an internal obstruction or misalignment."", ""e"", ""not_validated""] | [""The door's surface or coating was slippery, causing it to resist movement."", ""e"", ""not_validated""] | [""The door's doorstop or other external device was activated, preventing its movement."", ""e"", ""not_validated""]"
16996e,c,"In the short term, U.S. consumers will benefit from cheap imports (as will U.S. multinationals that use parts made in East Asian factories).",U.S. consumers and factories in East Asia benefit from imports.,"{""annotator"": 3, ""id"": ""1031-contradiction-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": true, ""reason"": ""It should be U.S. cunsumers in U.S."", ""self_corrected"": true}","[""The statement is false because it implies that U.S. consumers and factories in East Asia are both direct recipients of the benefits of cheap imports, whereas the original context only mentions U.S. consumers and U.S. multinationals."", ""c"", ""not_validated""] | [""The statement is false because it does not specify that the imports are coming from East Asia, only that U.S. multinationals use parts made in East Asian factories."", ""c"", ""not_validated""] | [""The statement is false because it does not acknowledge that U.S. multinationals are the ones that benefit from cheap imports, while U.S. consumers may not necessarily benefit from cheap imports."", ""c"", ""validated""] | [""The statement is false because"", ""c"", ""not_validated""]"
100792c,e,yeah but uh do you have small kids,It matters not if children are involved.,"{""annotator"": 1, ""id"": ""1472-entailment-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": true, ""reason"": ""The speaker in the context asks about small kids, so at least it matters to them whether kids are involved."", ""self_corrected"": true}","[""The presence of children is irrelevant to the outcome or decision."", ""e"", ""validated""] | [""The statement's truth is not affected by the involvement of children."", ""e"", ""validated""] | [""Children do not influence the matter at hand."", ""e"", ""not_validated""] | [""The statement's truth is unaffected by the involvement of small kids."", ""e"", ""not_validated""] | [""Children are not a determining factor in this situation."", ""e"", ""not_validated""] | [""The outcome or decision is not contingent upon the presence of children."", ""e"", ""validated""] | [""The matter at hand is not affected by the presence of small children."", ""e"", ""validated""]"
100792c,n,yeah but uh do you have small kids,It matters not if children are involved.,"{""annotator"": 0, ""id"": ""1472-neutral-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": true}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": false, ""reason"": ""Based on the context, we don't know if it matters to have kids."", ""self_corrected"": true}","[""The speaker's concern is not about the children's well-being, but rather about something else entirely."", ""n"", ""not_validated""] | [""The presence of children is irrelevant to the situation at hand."", ""n"", ""validated""] | [""The speaker is suggesting that the impact or outcome is not affected by the presence of children."", ""n"", ""validated""] | [""The speaker is implying that the decision or action is independent of whether children are involved."", ""n"", ""not_validated""] | [""The statement is a dismissal of the relevance of children in the context of the conversation."", ""n"", ""validated""] | [""The speaker is making a general statement that is not specific to the current situation or context."", ""n"", ""validated""] | [""The speaker's intention is to downplay or minimize the importance of children in the conversation."", ""n"", ""not_validated""]"
113193n,e,of course you could annex Cuba but they wouldn't like that a bit,Cubans would go up in arms if we tried to annex Cuba.,"{""annotator"": 0, ""id"": ""999-entailment-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": true}, {""annotator"": 3, ""makes_sense"": true}], ""label_correction"": false, ""reason"": ""The statement could be true, because if Cubans wouldn't like that, it could be possible that they would go up in arms."", ""self_corrected"": true}","[""Because annexation is a highly contested and sensitive issue for Cuba, particularly given its history and cultural identity."", ""e"", ""validated""] | [""As a result of the Cuban Revolution, the island nation has a strong sense of national sovereignty and independence."", ""e"", ""validated""] | [""The Cuban people have historically been resistant to external interference and control, which would be a major factor in their reaction to annexation."", ""e"", ""validated""] | [""The US has a long-standing policy of non-intervention in Cuban affairs, which has contributed to a sense of trust and respect between the two nations."", ""e"", ""not_validated""] | [""Annexation would be perceived as a significant threat to Cuba's territorial integrity and economic stability."", ""e"", ""validated""] | [""The international community, including the United Nations, has consistently recognized Cuba's sovereignty and territorial integrity."", ""e"", ""not_validated""] | [""The Cuban people have a strong sense of national pride and identity, which would be offended by the idea of annexation."", ""e"", ""validated""] | [""Historical events, such as the Spanish-American War and the Bay of Pigs invasion, have left a lasting impression on the Cuban people and would likely lead to resistance to annexation."", ""e"", ""validated""] | [""The Cuban government has consistently demonstrated its ability to defend its sovereignty and territorial integrity, which would make annexation a difficult and unlikely prospect."", ""e"", ""validated""] | [""Annexation would likely be seen as a form of colonialism, which"", ""e"", ""validated""]"
138966n,c,It's thought he used the same architect who worked on the Taj Mahal.,"In reality, he did not use the Taj Mahal's architect.","{""annotator"": 0, ""id"": ""1165-contradiction-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 2, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": false}], ""label_correction"": true, ""reason"": ""The context suggests that he might used the same architect, while the statement states that he did not."", ""self_corrected"": true}","[""The statement refers to a historical figure who built a structure, but there's no record of that figure using the same architect who worked on the Taj Mahal."", ""c"", ""not_validated""] | [""The Taj Mahal's architect is widely known to be Ustad Ahmad Lahori, but there's no credible evidence linking the historical figure in question to him."", ""c"", ""validated""] | [""The historical figure in question built a structure in a different region or time period, making it unlikely that the same architect would have been involved."", ""c"", ""validated""] | [""The statement implies that the Taj Mahal's architect was the only one who could have designed the structure, which is not true."", ""c"", ""not_validated""] | [""The historical figure in question built a structure using a different architectural style or technique that would not have required the same architect."", ""c"", ""validated""] | [""There is no historical evidence to support the claim that the Taj Mahal's architect was involved in the construction of the structure in question."", ""c"", ""validated""] | [""The statement's claim is contradicted by the lack of any"", ""c"", ""not_validated""]"
102817c,c,yes they would they just wouldn't be able to own the kind of automobiles that they think they deserve to own or the kind of homes that we think we deserve to own we might have to you know just be able to i think if we a generation went without debt then the next generation like if if our our generation my husband and i we're twenty eight if we lived our lives and didn't become you know indebted like you know our generation before us that um the budget would balance and that we became accustomed to living with what we could afford which we wouldn't be destitute i mean we wouldn't be living on the street by any means but just compared to how spoiled we are we would be in our own minds but i feel like the generation after us would oh man it it would be so good it would be so much better it wouldn't be perfect but then they could learn to live with what what they could afford to save to buy and if you want a nicer car than that well you save a little longer,I am glad our generation has no debt.,"{""annotator"": 0, ""id"": ""1328-contradiction-1"", ""judgments"": [{""annotator"": 0, ""makes_sense"": false}, {""annotator"": 1, ""makes_sense"": false}, {""annotator"": 3, ""makes_sense"": true}], ""label_correction"": false, ""reason"": ""The context implies that our generation does have debt, so the statement is wrong."", ""self_corrected"": true}","[""The speaker's generation is actually heavily indebted, but they're not acknowledging the debt."", ""c"", ""not_validated""] | [""The speaker's generation has become accustomed to living with debt, and they wouldn't know how to live without it."", ""c"", ""not_validated""] | [""The speaker's generation is not destitute, but they're not living within their means."", ""c"", ""not_validated""] | [""The speaker's generation is spoiled and wouldn't be able to live with the idea of not being able to afford the things they want."", ""c"", ""not_validated""] | [""The speaker's generation is not aware of the impact that debt has on future generations."", ""c"", ""not_validated""] | [""The speaker's generation would not be able to balance their budget if they didn't have debt."", ""c"", ""not_validated""] | [""The speaker's generation would be severely impacted by the loss of debt, and they wouldn't be able to afford the things they want."", ""c"", ""validated""] | [""The speaker's generation is not living in a way that allows them to save and afford the things they want."", ""c"", ""validated""] | [""The speaker's generation would be forced to make significant lifestyle changes if they didn't have debt."", ""c"", ""validated""]"
